,dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
0,iris,1,uniform,manhattan,2,0.9333333333333332,0.9339103913527512,0.9333333333333332,0.9332937260598124
1,iris,1,uniform,manhattan,3,0.9298000000000002,0.9300166342125741,0.9298,0.929785024420652
2,iris,1,uniform,manhattan,4,0.9291333333333331,0.9293342065601626,0.9291333333333334,0.9291197874157876
3,iris,1,uniform,manhattan,5,0.9312666666666668,0.9314229108294032,0.9312666666666668,0.931256669996299
4,iris,1,uniform,manhattan,6,0.9324,0.9325498806549968,0.9324,0.9323907433714074
5,iris,1,uniform,manhattan,7,0.9311333333333331,0.931287305241812,0.9311333333333336,0.9311234437887403
6,iris,1,uniform,manhattan,8,0.9289333333333332,0.9290826043237812,0.9289333333333336,0.9289232774898136
7,iris,1,uniform,manhattan,9,0.9286,0.928718257559434,0.9286,0.9285918716561532
8,iris,1,uniform,euclidean,2,0.9401999999999998,0.9410780283954592,0.9402,0.9402713868033163
9,iris,1,uniform,euclidean,3,0.9401333333333334,0.9406431983547748,0.9401333333333332,0.9401976938085472
10,iris,1,uniform,euclidean,4,0.9436,0.9439282836695853,0.9436,0.9436647250465126
11,iris,1,uniform,euclidean,5,0.9438,0.9439877700162403,0.9438000000000002,0.94384131124176
12,iris,1,uniform,euclidean,6,0.9446666666666668,0.9448267913749204,0.9446666666666664,0.9446944872241602
13,iris,1,uniform,euclidean,7,0.9448,0.9449495547539132,0.9448000000000002,0.9448277317444989
14,iris,1,uniform,euclidean,8,0.9462,0.9462794543458408,0.9462,0.946210890812971
15,iris,1,uniform,euclidean,9,0.9453333333333336,0.9454350718903912,0.9453333333333334,0.9453584756837746
16,iris,1,distance,manhattan,2,0.9341333333333331,0.934568558384872,0.9341333333333334,0.9341015846250028
17,iris,1,distance,manhattan,3,0.9325333333333332,0.9327907123359926,0.9325333333333332,0.9325161321582088
18,iris,1,distance,manhattan,4,0.9312,0.9313937151597402,0.9312,0.9311870076792544
19,iris,1,distance,manhattan,5,0.9298666666666666,0.9300259358855792,0.9298666666666668,0.9298564231608912
20,iris,1,distance,manhattan,6,0.9302,0.9303920071734342,0.9302000000000002,0.9301875744182648
21,iris,1,distance,manhattan,7,0.9291999999999996,0.9293544655597059,0.9292,0.929189889728524
22,iris,1,distance,manhattan,8,0.9302666666666666,0.9304083187723412,0.9302666666666668,0.9302573707708264
23,iris,1,distance,manhattan,9,0.9292,0.929313686500241,0.9292,0.929192398599604
24,iris,1,distance,euclidean,2,0.9367333333333332,0.9375955207820612,0.9367333333333332,0.9367997924694604
25,iris,1,distance,euclidean,3,0.9412,0.9415598241719084,0.9412,0.9412572754806648
26,iris,1,distance,euclidean,4,0.9414,0.9416733117575152,0.9414,0.941445087804455
27,iris,1,distance,euclidean,5,0.9439333333333334,0.9441296544390768,0.9439333333333332,0.9439725200159924
28,iris,1,distance,euclidean,6,0.9438,0.94396137634541,0.9438,0.943833707908606
29,iris,1,distance,euclidean,7,0.9450000000000002,0.9451390953817426,0.945,0.9450344230901684
