n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,manhattan,0.973,0.972,0.977,0.974
2,distance,manhattan,0.973,0.972,0.977,0.974
3,distance,manhattan,0.967,0.966,0.972,0.968
4,distance,manhattan,0.969,0.968,0.974,0.97
5,distance,manhattan,0.967,0.965,0.972,0.968
6,distance,manhattan,0.97,0.968,0.974,0.971
7,distance,manhattan,0.973,0.972,0.977,0.974
8,distance,manhattan,0.972,0.971,0.976,0.973
9,distance,manhattan,0.977,0.976,0.981,0.978
10,distance,manhattan,0.975,0.975,0.98,0.976
11,distance,manhattan,0.978,0.977,0.981,0.979
12,distance,manhattan,0.976,0.975,0.98,0.977
13,distance,manhattan,0.973,0.973,0.978,0.975
14,distance,manhattan,0.973,0.972,0.978,0.974
15,distance,manhattan,0.973,0.972,0.977,0.974
16,distance,manhattan,0.973,0.972,0.978,0.974
17,distance,manhattan,0.971,0.97,0.976,0.972
18,distance,manhattan,0.971,0.969,0.975,0.972
19,distance,manhattan,0.968,0.967,0.973,0.969
20,distance,manhattan,0.968,0.967,0.973,0.969
