n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,0.703,0.672,0.665,0.668
1,distance,manhattan,0.688,0.654,0.649,0.651
1,sqrt-order,euclidean,0.703,0.671,0.665,0.667
1,sqrt-order,manhattan,0.688,0.654,0.65,0.651
1,uniform,euclidean,0.703,0.671,0.665,0.667
1,uniform,manhattan,0.688,0.655,0.65,0.652
2,distance,euclidean,0.703,0.671,0.665,0.668
2,distance,manhattan,0.688,0.654,0.65,0.652
2,sqrt-order,euclidean,0.703,0.671,0.665,0.667
2,sqrt-order,manhattan,0.688,0.654,0.65,0.652
2,uniform,euclidean,0.709,0.694,0.621,0.622
2,uniform,manhattan,0.708,0.692,0.618,0.619
3,distance,euclidean,0.729,0.7,0.689,0.693
3,distance,manhattan,0.71,0.678,0.666,0.67
3,sqrt-order,euclidean,0.732,0.704,0.692,0.697
3,sqrt-order,manhattan,0.715,0.684,0.67,0.675
3,uniform,euclidean,0.732,0.704,0.693,0.697
3,uniform,manhattan,0.714,0.683,0.669,0.674
4,distance,euclidean,0.732,0.705,0.691,0.696
4,distance,manhattan,0.718,0.687,0.673,0.678
4,sqrt-order,euclidean,0.734,0.707,0.692,0.698
4,sqrt-order,manhattan,0.717,0.686,0.672,0.677
4,uniform,euclidean,0.727,0.711,0.652,0.659
4,uniform,manhattan,0.713,0.69,0.635,0.64
5,distance,euclidean,0.732,0.704,0.687,0.693
5,distance,manhattan,0.724,0.695,0.676,0.682
5,sqrt-order,euclidean,0.735,0.708,0.692,0.698
5,sqrt-order,manhattan,0.729,0.701,0.683,0.689
5,uniform,euclidean,0.735,0.708,0.69,0.696
5,uniform,manhattan,0.727,0.699,0.679,0.685
6,distance,euclidean,0.737,0.71,0.695,0.7
6,distance,manhattan,0.732,0.705,0.684,0.69
6,sqrt-order,euclidean,0.736,0.709,0.692,0.698
6,sqrt-order,manhattan,0.731,0.704,0.683,0.689
6,uniform,euclidean,0.729,0.709,0.659,0.668
6,uniform,manhattan,0.722,0.703,0.647,0.654
7,distance,euclidean,0.734,0.707,0.69,0.696
7,distance,manhattan,0.731,0.704,0.68,0.687
7,sqrt-order,euclidean,0.738,0.711,0.695,0.7
7,sqrt-order,manhattan,0.732,0.705,0.683,0.69
7,uniform,euclidean,0.736,0.71,0.69,0.697
7,uniform,manhattan,0.734,0.708,0.682,0.689
8,distance,euclidean,0.74,0.714,0.695,0.701
8,distance,manhattan,0.737,0.711,0.686,0.694
8,sqrt-order,euclidean,0.741,0.715,0.696,0.702
8,sqrt-order,manhattan,0.734,0.708,0.683,0.691
8,uniform,euclidean,0.731,0.711,0.664,0.673
8,uniform,manhattan,0.73,0.715,0.657,0.665
9,distance,euclidean,0.737,0.711,0.69,0.697
9,distance,manhattan,0.738,0.713,0.685,0.693
9,sqrt-order,euclidean,0.742,0.717,0.698,0.704
9,sqrt-order,manhattan,0.737,0.711,0.687,0.694
9,uniform,euclidean,0.738,0.713,0.69,0.697
9,uniform,manhattan,0.74,0.716,0.685,0.694
