n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,0.7,0.685,0.665,0.672
1,distance,manhattan,0.727,0.708,0.699,0.701
1,sqrt-order,euclidean,0.699,0.683,0.663,0.671
1,sqrt-order,manhattan,0.726,0.706,0.698,0.7
1,uniform,euclidean,0.7,0.684,0.663,0.671
1,uniform,manhattan,0.728,0.709,0.7,0.702
2,distance,euclidean,0.699,0.684,0.663,0.671
2,distance,manhattan,0.726,0.707,0.698,0.7
2,sqrt-order,euclidean,0.7,0.685,0.663,0.672
2,sqrt-order,manhattan,0.728,0.709,0.7,0.702
2,uniform,euclidean,0.694,0.702,0.593,0.618
2,uniform,manhattan,0.693,0.696,0.578,0.607
3,distance,euclidean,0.706,0.697,0.647,0.665
3,distance,manhattan,0.725,0.716,0.681,0.692
3,sqrt-order,euclidean,0.701,0.69,0.642,0.659
3,sqrt-order,manhattan,0.717,0.707,0.665,0.678
3,uniform,euclidean,0.689,0.687,0.603,0.627
3,uniform,manhattan,0.705,0.696,0.634,0.651
4,distance,euclidean,0.69,0.676,0.626,0.641
4,distance,manhattan,0.72,0.703,0.675,0.678
4,sqrt-order,euclidean,0.685,0.664,0.617,0.631
4,sqrt-order,manhattan,0.719,0.7,0.667,0.672
4,uniform,euclidean,0.668,0.675,0.571,0.594
4,uniform,manhattan,0.686,0.683,0.598,0.619
5,distance,euclidean,0.697,0.705,0.625,0.643
5,distance,manhattan,0.73,0.734,0.675,0.687
5,sqrt-order,euclidean,0.697,0.694,0.625,0.642
5,sqrt-order,manhattan,0.72,0.71,0.664,0.672
5,uniform,euclidean,0.652,0.608,0.55,0.564
5,uniform,manhattan,0.678,0.626,0.584,0.593
6,distance,euclidean,0.69,0.69,0.602,0.622
6,distance,manhattan,0.718,0.719,0.652,0.664
6,sqrt-order,euclidean,0.689,0.688,0.61,0.629
6,sqrt-order,manhattan,0.713,0.707,0.649,0.661
6,uniform,euclidean,0.653,0.606,0.529,0.544
6,uniform,manhattan,0.67,0.625,0.555,0.568
7,distance,euclidean,0.684,0.672,0.601,0.616
7,distance,manhattan,0.708,0.701,0.63,0.642
7,sqrt-order,euclidean,0.685,0.68,0.604,0.621
7,sqrt-order,manhattan,0.706,0.691,0.627,0.642
7,uniform,euclidean,0.646,0.604,0.522,0.538
7,uniform,manhattan,0.664,0.621,0.544,0.557
8,distance,euclidean,0.687,0.686,0.592,0.611
8,distance,manhattan,0.702,0.685,0.609,0.623
8,sqrt-order,euclidean,0.682,0.667,0.59,0.605
8,sqrt-order,manhattan,0.697,0.674,0.613,0.624
8,uniform,euclidean,0.648,0.592,0.512,0.529
8,uniform,manhattan,0.663,0.589,0.528,0.539
9,distance,euclidean,0.684,0.677,0.585,0.603
9,distance,manhattan,0.7,0.684,0.608,0.621
9,sqrt-order,euclidean,0.688,0.679,0.586,0.603
9,sqrt-order,manhattan,0.696,0.672,0.599,0.613
9,uniform,euclidean,0.645,0.573,0.502,0.516
9,uniform,manhattan,0.659,0.604,0.519,0.534
