n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,0.943,0.943,0.943,0.943
1,distance,manhattan,0.931,0.931,0.931,0.931
1,sqrt-order,euclidean,0.944,0.944,0.944,0.944
1,sqrt-order,manhattan,0.93,0.931,0.93,0.93
1,uniform,euclidean,0.944,0.944,0.944,0.944
1,uniform,manhattan,0.931,0.931,0.931,0.931
2,distance,euclidean,0.943,0.943,0.943,0.943
2,distance,manhattan,0.931,0.931,0.931,0.931
2,sqrt-order,euclidean,0.944,0.944,0.944,0.944
2,sqrt-order,manhattan,0.93,0.931,0.93,0.93
2,uniform,euclidean,0.939,0.941,0.939,0.939
2,uniform,manhattan,0.929,0.932,0.929,0.929
3,distance,euclidean,0.948,0.948,0.948,0.948
3,distance,manhattan,0.949,0.949,0.949,0.949
3,sqrt-order,euclidean,0.945,0.946,0.945,0.945
3,sqrt-order,manhattan,0.948,0.948,0.948,0.948
3,uniform,euclidean,0.945,0.946,0.945,0.945
3,uniform,manhattan,0.948,0.948,0.948,0.948
4,distance,euclidean,0.95,0.951,0.95,0.95
4,distance,manhattan,0.947,0.947,0.947,0.947
4,sqrt-order,euclidean,0.949,0.95,0.949,0.949
4,sqrt-order,manhattan,0.946,0.946,0.946,0.946
4,uniform,euclidean,0.944,0.946,0.944,0.944
4,uniform,manhattan,0.945,0.947,0.945,0.945
5,distance,euclidean,0.954,0.954,0.954,0.954
5,distance,manhattan,0.952,0.952,0.952,0.952
5,sqrt-order,euclidean,0.948,0.948,0.948,0.948
5,sqrt-order,manhattan,0.95,0.95,0.95,0.95
5,uniform,euclidean,0.952,0.952,0.952,0.952
5,uniform,manhattan,0.95,0.95,0.95,0.95
6,distance,euclidean,0.955,0.955,0.955,0.955
6,distance,manhattan,0.948,0.948,0.948,0.948
6,sqrt-order,euclidean,0.953,0.953,0.953,0.953
6,sqrt-order,manhattan,0.945,0.946,0.945,0.945
6,uniform,euclidean,0.952,0.954,0.952,0.952
6,uniform,manhattan,0.95,0.952,0.95,0.95
7,distance,euclidean,0.96,0.961,0.96,0.96
7,distance,manhattan,0.95,0.951,0.95,0.95
7,sqrt-order,euclidean,0.952,0.953,0.952,0.952
7,sqrt-order,manhattan,0.947,0.947,0.947,0.947
7,uniform,euclidean,0.955,0.955,0.955,0.955
7,uniform,manhattan,0.948,0.948,0.948,0.948
8,distance,euclidean,0.96,0.961,0.96,0.96
8,distance,manhattan,0.949,0.949,0.949,0.949
8,sqrt-order,euclidean,0.952,0.953,0.952,0.952
8,sqrt-order,manhattan,0.947,0.947,0.947,0.947
8,uniform,euclidean,0.955,0.957,0.955,0.955
8,uniform,manhattan,0.949,0.95,0.949,0.949
9,distance,euclidean,0.961,0.962,0.961,0.961
9,distance,manhattan,0.95,0.95,0.95,0.95
9,sqrt-order,euclidean,0.956,0.957,0.956,0.956
9,sqrt-order,manhattan,0.947,0.947,0.947,0.947
9,uniform,euclidean,0.955,0.956,0.955,0.955
9,uniform,manhattan,0.949,0.949,0.949,0.949
