n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,0.952,0.952,0.96,0.954
1,distance,manhattan,0.973,0.972,0.977,0.974
1,sqrt-order,euclidean,0.952,0.951,0.96,0.953
1,sqrt-order,manhattan,0.973,0.972,0.977,0.974
1,uniform,euclidean,0.953,0.952,0.96,0.954
1,uniform,manhattan,0.973,0.972,0.977,0.974
2,distance,euclidean,0.953,0.952,0.96,0.954
2,distance,manhattan,0.973,0.972,0.977,0.974
2,sqrt-order,euclidean,0.952,0.951,0.96,0.953
2,sqrt-order,manhattan,0.972,0.972,0.977,0.974
2,uniform,euclidean,0.94,0.942,0.948,0.942
2,uniform,manhattan,0.958,0.96,0.964,0.961
3,distance,euclidean,0.956,0.955,0.963,0.957
3,distance,manhattan,0.967,0.966,0.972,0.968
3,sqrt-order,euclidean,0.956,0.955,0.963,0.957
3,sqrt-order,manhattan,0.967,0.966,0.972,0.968
3,uniform,euclidean,0.957,0.955,0.963,0.957
3,uniform,manhattan,0.968,0.967,0.973,0.969
4,distance,euclidean,0.959,0.958,0.965,0.96
4,distance,manhattan,0.968,0.968,0.973,0.97
4,sqrt-order,euclidean,0.957,0.956,0.964,0.958
4,sqrt-order,manhattan,0.968,0.968,0.973,0.97
4,uniform,euclidean,0.951,0.952,0.958,0.953
4,uniform,manhattan,0.964,0.965,0.969,0.966
5,distance,euclidean,0.963,0.962,0.969,0.964
5,distance,manhattan,0.967,0.965,0.972,0.968
5,sqrt-order,euclidean,0.959,0.957,0.965,0.96
5,sqrt-order,manhattan,0.97,0.968,0.974,0.97
5,uniform,euclidean,0.963,0.962,0.969,0.964
5,uniform,manhattan,0.967,0.965,0.972,0.968
6,distance,euclidean,0.962,0.96,0.968,0.963
6,distance,manhattan,0.97,0.969,0.975,0.971
6,sqrt-order,euclidean,0.962,0.961,0.968,0.963
6,sqrt-order,manhattan,0.971,0.97,0.976,0.972
6,uniform,euclidean,0.956,0.957,0.962,0.958
6,uniform,manhattan,0.965,0.965,0.97,0.966
7,distance,euclidean,0.965,0.963,0.97,0.965
7,distance,manhattan,0.973,0.972,0.977,0.974
7,sqrt-order,euclidean,0.959,0.958,0.966,0.96
7,sqrt-order,manhattan,0.973,0.972,0.977,0.974
7,uniform,euclidean,0.966,0.964,0.971,0.967
7,uniform,manhattan,0.973,0.972,0.977,0.974
8,distance,euclidean,0.963,0.961,0.969,0.964
8,distance,manhattan,0.972,0.971,0.976,0.973
8,sqrt-order,euclidean,0.963,0.961,0.969,0.964
8,sqrt-order,manhattan,0.972,0.971,0.977,0.973
8,uniform,euclidean,0.96,0.96,0.966,0.962
8,uniform,manhattan,0.971,0.971,0.976,0.973
9,distance,euclidean,0.966,0.964,0.971,0.966
9,distance,manhattan,0.977,0.976,0.981,0.978
9,sqrt-order,euclidean,0.962,0.961,0.968,0.963
9,sqrt-order,manhattan,0.975,0.974,0.979,0.976
9,uniform,euclidean,0.966,0.964,0.971,0.967
9,uniform,manhattan,0.976,0.975,0.98,0.977
