dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
iris,1,uniform,manhattan,2,0.9481333333333332,0.948557969970716,0.9481333333333332,0.9481088559259796
iris,1,uniform,manhattan,3,0.9475333333333334,0.9479490400926166,0.9475333333333332,0.9475080972072234
iris,1,uniform,manhattan,4,0.9516666666666668,0.9518625376824752,0.9516666666666668,0.9516564335577168
iris,1,uniform,manhattan,5,0.9502,0.9504321874984726,0.9501999999999998,0.9501882108910668
iris,1,uniform,manhattan,6,0.9518666666666666,0.952049708693352,0.9518666666666664,0.9518576473370842
iris,1,uniform,manhattan,7,0.9520666666666668,0.952242813581549,0.9520666666666668,0.952058268184806
iris,1,uniform,manhattan,8,0.9522666666666666,0.9524479797966652,0.9522666666666664,0.9522578876172144
iris,1,uniform,manhattan,9,0.9525333333333332,0.9526697725243942,0.9525333333333332,0.95252741197289
iris,1,uniform,euclidean,2,0.9535333333333336,0.9538119841327456,0.9535333333333332,0.9535196976410826
iris,1,uniform,euclidean,3,0.9556666666666664,0.9558546593431204,0.9556666666666668,0.9556578387659302
iris,1,uniform,euclidean,4,0.9568666666666666,0.9569669246520828,0.9568666666666664,0.9568620177257336
iris,1,uniform,euclidean,5,0.9574,0.9574627987092272,0.9574,0.95739735274848
iris,1,uniform,euclidean,6,0.9581999999999996,0.958244193381683,0.9582,0.9581980325761504
iris,1,uniform,euclidean,7,0.9574,0.9574538189634828,0.9574,0.9573977796499136
iris,1,uniform,euclidean,8,0.9588666666666664,0.958888414083582,0.9588666666666664,0.9588657665126256
iris,1,uniform,euclidean,9,0.9584,0.9584366120807296,0.9584,0.9583984797199208
iris,1,distance,manhattan,2,0.9484666666666668,0.9488528748000769,0.9484666666666666,0.948444216376134
iris,1,distance,manhattan,3,0.9488666666666667,0.9491499712994356,0.9488666666666664,0.9488515794208084
iris,1,distance,manhattan,4,0.949,0.9492872772377388,0.9490000000000001,0.9489852896715842
iris,1,distance,manhattan,5,0.9504000000000002,0.9506227477158556,0.9504,0.9503888862630816
iris,1,distance,manhattan,6,0.9512,0.9513749890792584,0.9512,0.9511916623411488
iris,1,distance,manhattan,7,0.9520000000000002,0.9521694115442758,0.9519999999999998,0.951992290384852
iris,1,distance,manhattan,8,0.9524,0.9525228709432491,0.9524,0.9523946922263254
iris,1,distance,manhattan,9,0.9527333333333332,0.9528815461417044,0.9527333333333332,0.9527266709697696
iris,1,distance,euclidean,2,0.9538666666666664,0.9541956157953784,0.9538666666666664,0.9538489352220016
iris,1,distance,euclidean,3,0.9553333333333334,0.95546494859568,0.9553333333333331,0.9553275034886008
iris,1,distance,euclidean,4,0.9566,0.9567102472391236,0.9566,0.9565951916678098
iris,1,distance,euclidean,5,0.9579333333333332,0.9579920298888784,0.9579333333333332,0.9579309927631418
iris,1,distance,euclidean,6,0.9584,0.9584391200069772,0.9584,0.9583984397319282
iris,1,distance,euclidean,7,0.9584666666666664,0.9585021316218794,0.9584666666666666,0.9584651930579212
iris,1,distance,euclidean,8,0.9587333333333332,0.9587573750012824,0.9587333333333332,0.9587323398366246
iris,1,distance,euclidean,9,0.9586,0.9586240896358542,0.9585999999999998,0.95859901990199
iris,1,sqrt-order,manhattan,2,0.9486,0.9489971107783752,0.9486,0.9485783468115548
iris,1,sqrt-order,manhattan,3,0.9501333333333336,0.9504113749622825,0.9501333333333332,0.9501186138683833
iris,1,sqrt-order,manhattan,4,0.9506666666666664,0.9508920596384354,0.9506666666666668,0.9506548434806741
iris,1,sqrt-order,manhattan,5,0.9497333333333332,0.9499557941521136,0.9497333333333332,0.94972213926888
iris,1,sqrt-order,manhattan,6,0.9525333333333332,0.9527018023686769,0.9525333333333332,0.9525253691732164
iris,1,sqrt-order,manhattan,7,0.9506666666666668,0.9508837568788571,0.9506666666666664,0.9506561539677336
iris,1,sqrt-order,manhattan,8,0.9526,0.9527304042762974,0.9526,0.9525942316838566
iris,1,sqrt-order,manhattan,9,0.9519333333333332,0.952115841556754,0.9519333333333332,0.951924521011246
iris,1,sqrt-order,euclidean,2,0.9526666666666666,0.9529607992027574,0.9526666666666666,0.9526518740489772
iris,1,sqrt-order,euclidean,3,0.9566666666666668,0.956774310556758,0.9566666666666668,0.956662211927259
iris,1,sqrt-order,euclidean,4,0.9559333333333336,0.956031881966214,0.9559333333333332,0.9559289242710554
iris,1,sqrt-order,euclidean,5,0.9582666666666664,0.9583148677419684,0.9582666666666664,0.9582647062305271
iris,1,sqrt-order,euclidean,6,0.9575999999999998,0.9576500682324208,0.9576,0.9575978395278504
iris,1,sqrt-order,euclidean,7,0.9581333333333332,0.9581789197730374,0.9581333333333332,0.9581313862158524
iris,1,sqrt-order,euclidean,8,0.9584,0.9584342644750208,0.9583999999999996,0.9583985597279214
iris,1,sqrt-order,euclidean,9,0.9590000000000001,0.9590195544884621,0.9589999999999996,0.958999219921992
iris,2,uniform,manhattan,2,0.9330666666666666,0.9360673678543132,0.9330666666666664,0.9328544155442348
iris,2,uniform,manhattan,3,0.9339999999999996,0.9361487019627124,0.934,0.9338531042363868
iris,2,uniform,manhattan,4,0.9352666666666666,0.9370948312581404,0.9352666666666666,0.9351490541713128
iris,2,uniform,manhattan,5,0.9362666666666668,0.9378874907253256,0.9362666666666668,0.9361600368734744
iris,2,uniform,manhattan,6,0.9367333333333334,0.9382096160203274,0.9367333333333332,0.9366412585495992
iris,2,uniform,manhattan,7,0.9379999999999996,0.9393086965487442,0.938,0.9379203073621628
iris,2,uniform,manhattan,8,0.9372,0.9385752376780876,0.9372,0.9371146438268596
iris,2,uniform,manhattan,9,0.9376,0.9389545263294808,0.9376,0.9375153974122562
iris,2,uniform,euclidean,2,0.9421333333333329,0.9444533550453412,0.9421333333333332,0.9419850258685972
iris,2,uniform,euclidean,3,0.9456666666666668,0.9469638237008496,0.9456666666666668,0.9455950680476816
iris,2,uniform,euclidean,4,0.9445333333333332,0.9456796723048828,0.9445333333333332,0.9444676061709988
iris,2,uniform,euclidean,5,0.9456000000000002,0.946441741709326,0.9456,0.9455553126591592
iris,2,uniform,euclidean,6,0.9461333333333336,0.9468298776914426,0.9461333333333332,0.9460966919764284
iris,2,uniform,euclidean,7,0.9461333333333332,0.9467633844874196,0.9461333333333332,0.9461008883947056
iris,2,uniform,euclidean,8,0.9463333333333336,0.9469600038742164,0.9463333333333332,0.9463003586269148
iris,2,uniform,euclidean,9,0.9461333333333336,0.9467375768134548,0.9461333333333332,0.9461025473325242
iris,2,distance,manhattan,2,0.9469999999999998,0.9474904660715974,0.947,0.9469707383314468
iris,2,distance,manhattan,3,0.9494666666666668,0.949698125134932,0.9494666666666666,0.949455073668806
iris,2,distance,manhattan,4,0.9504,0.9506628893363172,0.9504,0.9503861461455136
iris,2,distance,manhattan,5,0.9506,0.9508415063715688,0.9506,0.950587892029572
iris,2,distance,manhattan,6,0.9508,0.9509988498533776,0.9508,0.9507902887916552
iris,2,distance,manhattan,7,0.9521333333333334,0.9522979095437496,0.9521333333333332,0.9521257573851818
iris,2,distance,manhattan,8,0.9511333333333334,0.9513321854350856,0.9511333333333332,0.9511239626394964
iris,2,distance,manhattan,9,0.9523333333333333,0.9524730592236894,0.9523333333333333,0.9523272318908562
iris,2,distance,euclidean,2,0.9544666666666666,0.9547734021683846,0.9544666666666668,0.9544525714479384
iris,2,distance,euclidean,3,0.9566666666666668,0.9568290838285688,0.9566666666666668,0.9566590551365224
iris,2,distance,euclidean,4,0.9569333333333334,0.9570066218795208,0.9569333333333332,0.9569303059957855
iris,2,distance,euclidean,5,0.9585333333333332,0.958579389191574,0.9585333333333332,0.9585315063559176
iris,2,distance,euclidean,6,0.9584666666666668,0.9585001467253564,0.9584666666666666,0.9584653665366534
iris,2,distance,euclidean,7,0.9588,0.9588229958650124,0.9588,0.9587990799079906
iris,2,distance,euclidean,8,0.9587999999999998,0.9588275363991751,0.9588,0.9587988798239566
iris,2,distance,euclidean,9,0.9589999999999996,0.9590217474169151,0.9590000000000001,0.9589990998459591
iris,2,sqrt-order,manhattan,2,0.9464666666666666,0.9469915673368048,0.9464666666666668,0.9464343223416124
iris,2,sqrt-order,manhattan,3,0.9496,0.9499201358789257,0.9496,0.9495824102812018
iris,2,sqrt-order,manhattan,4,0.9500666666666668,0.9503645352822784,0.9500666666666666,0.9500505521902952
iris,2,sqrt-order,manhattan,5,0.9506,0.9508275568016354,0.9506,0.9505883981531228
iris,2,sqrt-order,manhattan,6,0.9512666666666668,0.9514734593632126,0.9512666666666668,0.9512565876807892
iris,2,sqrt-order,manhattan,7,0.9515333333333332,0.9517144450055806,0.9515333333333336,0.9515248697330068
iris,2,sqrt-order,manhattan,8,0.9524666666666668,0.9526172448466564,0.9524666666666668,0.9524599382227136
iris,2,sqrt-order,manhattan,9,0.9522,0.9523505026353559,0.9522,0.9521932444220488
iris,2,sqrt-order,euclidean,2,0.9518,0.9521618215692004,0.9518,0.9517809933683355
iris,2,sqrt-order,euclidean,3,0.9556666666666668,0.955808486806225,0.9556666666666664,0.955660362479532
iris,2,sqrt-order,euclidean,4,0.9572000000000002,0.9572706470400696,0.9572,0.957196972294052
iris,2,sqrt-order,euclidean,5,0.9569333333333332,0.9570044769189728,0.9569333333333332,0.9569304394705176
iris,2,sqrt-order,euclidean,6,0.9574666666666668,0.9575146966478898,0.9574666666666668,0.9574646663385824
iris,2,sqrt-order,euclidean,7,0.958,0.9580390076543438,0.958,0.9579984131106188
iris,2,sqrt-order,euclidean,8,0.9588,0.958829884004884,0.9587999999999998,0.958798799815956
iris,2,sqrt-order,euclidean,9,0.9591999999999998,0.9592183060403648,0.9592,0.95919923985996
iris,3,uniform,manhattan,2,0.9532,0.953552607027737,0.9532000000000002,0.9531831844607652
iris,3,uniform,manhattan,3,0.9577333333333332,0.9579401766355108,0.9577333333333332,0.9577249281362108
iris,3,uniform,manhattan,4,0.9586,0.95873745194982,0.9585999999999998,0.9585946302492
iris,3,uniform,manhattan,5,0.9604666666666668,0.9605570251841588,0.9604666666666666,0.9604635658282034
iris,3,uniform,manhattan,6,0.9588,0.958887881113186,0.9588,0.9587966122900644
iris,3,uniform,manhattan,7,0.9596666666666666,0.9597240609064136,0.9596666666666666,0.959664673037932
iris,3,uniform,manhattan,8,0.9598666666666664,0.9599231218128276,0.9598666666666664,0.9598647731119648
iris,3,uniform,manhattan,9,0.9601999999999998,0.9602413290957408,0.9601999999999998,0.9601986598339703
iris,3,uniform,euclidean,2,0.9571999999999998,0.9576002028449592,0.9572,0.9571822434497512
iris,3,uniform,euclidean,3,0.9609333333333332,0.9611339815702916,0.9609333333333332,0.96092671621502
iris,3,uniform,euclidean,4,0.9615999999999998,0.9617364840266464,0.9616,0.9615953980827692
iris,3,uniform,euclidean,5,0.9626,0.9626991581247883,0.9626,0.9625970993417868
iris,3,uniform,euclidean,6,0.9618,0.9618903472911672,0.9618,0.9617968852503174
iris,3,uniform,euclidean,7,0.9613333333333332,0.96137367511107,0.9613333333333332,0.96133207982663
