dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
glass,1,uniform,1,2,0.6994859813084111,0.6639912178793949,0.6590542575601293,0.6575821322724185
glass,1,uniform,1,3,0.7177102803738319,0.6794817982296598,0.6872160903854616,0.6805038486590064
glass,1,uniform,1,4,0.7221028037383178,0.6859592939142799,0.6891759408294318,0.6851102471812918
glass,1,uniform,1,5,0.7289719626168225,0.6912260014276789,0.6964825377077165,0.6913668067315969
glass,1,uniform,1,6,0.7302803738317758,0.692362855812522,0.7015050146929883,0.6948040486159354
glass,1,uniform,1,7,0.72892523364486,0.69203952921744,0.698804930042813,0.69354747237757
glass,1,uniform,1,8,0.7310747663551403,0.6934874295399963,0.7013491321792804,0.6954245010843009
glass,1,uniform,1,9,0.7307009345794393,0.6939834037590031,0.7021723822263481,0.6960479041129505
glass,1,uniform,2,2,0.693317757009346,0.6561503787579991,0.6548748634623781,0.6508604575974619
glass,1,uniform,2,3,0.7079439252336449,0.6716456767190208,0.6780690289005918,0.6713040079301377
glass,1,uniform,2,4,0.7172429906542057,0.6811197002513669,0.6841575867817461,0.6792910507077293
glass,1,uniform,2,5,0.723411214953271,0.6879564037257527,0.6957712392556259,0.6885087515921117
glass,1,uniform,2,6,0.7239719626168225,0.6869368942418947,0.69566199274473,0.6877758071538135
glass,1,uniform,2,7,0.727663551401869,0.6920003410255765,0.7014722108599284,0.6932664040922962
glass,1,uniform,2,8,0.7296261682242993,0.6950730655409422,0.7045311131324262,0.6964797326582367
glass,1,uniform,2,9,0.7281308411214955,0.6917922533164974,0.7044594429873334,0.6945957001418815
glass,1,distance,1,2,0.6965420560747663,0.6610011294502783,0.6631828266184784,0.6579619521617552
glass,1,distance,1,3,0.7159345794392524,0.6784798198129548,0.6840544613536232,0.6785974165935107
glass,1,distance,1,4,0.7236915887850469,0.6875398328320652,0.6972539696226575,0.6895360523540532
glass,1,distance,1,5,0.728177570093458,0.6926666683284523,0.6977282693088714,0.6930172246328422
glass,1,distance,1,6,0.7293457943925236,0.6922689789887211,0.7016429081319654,0.6946524140056459
glass,1,distance,1,7,0.7303738317757009,0.6915986166920601,0.7010526924313089,0.6941919398407699
glass,1,distance,1,8,0.7322897196261684,0.6974060194019005,0.7028111453587593,0.6982484001376528
glass,1,distance,1,9,0.7313551401869159,0.6940614561812305,0.7030125881615151,0.696511027162463
