dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
iris,1,uniform,1,2,0.9481333333333333,0.948557969970716,0.9481333333333332,0.9481088559259797
iris,1,uniform,1,3,0.9475333333333334,0.9479490400926166,0.9475333333333333,0.9475080972072234
iris,1,uniform,1,4,0.9516666666666669,0.9518625376824752,0.9516666666666667,0.9516564335577168
iris,1,uniform,1,5,0.9501999999999999,0.9504321874984726,0.9501999999999998,0.9501882108910669
iris,1,uniform,1,6,0.9518666666666666,0.952049708693352,0.9518666666666665,0.9518576473370842
iris,1,uniform,1,7,0.9520666666666667,0.952242813581549,0.9520666666666667,0.9520582681848059
iris,1,uniform,1,8,0.9522666666666666,0.9524479797966653,0.9522666666666665,0.9522578876172144
iris,1,uniform,1,9,0.9525333333333333,0.9526697725243942,0.9525333333333333,0.9525274119728899
iris,1,uniform,2,2,0.9535333333333336,0.9538119841327455,0.9535333333333331,0.9535196976410826
iris,1,uniform,2,3,0.9556666666666664,0.9558546593431203,0.9556666666666667,0.9556578387659302
iris,1,uniform,2,4,0.9568666666666666,0.9569669246520829,0.9568666666666665,0.9568620177257336
iris,1,uniform,2,5,0.9573999999999999,0.9574627987092272,0.9574000000000001,0.95739735274848
iris,1,uniform,2,6,0.9581999999999996,0.958244193381683,0.9581999999999999,0.9581980325761503
iris,1,uniform,2,7,0.9573999999999999,0.9574538189634827,0.9573999999999999,0.9573977796499137
iris,1,uniform,2,8,0.9588666666666665,0.9588884140835819,0.9588666666666665,0.9588657665126257
iris,1,uniform,2,9,0.9583999999999999,0.9584366120807295,0.9583999999999999,0.9583984797199208
iris,1,distance,1,2,0.9484666666666667,0.9488528748000769,0.9484666666666666,0.948444216376134
iris,1,distance,1,3,0.9488666666666667,0.9491499712994357,0.9488666666666665,0.9488515794208083
iris,1,distance,1,4,0.9490000000000001,0.9492872772377388,0.949,0.9489852896715842
iris,1,distance,1,5,0.9504000000000002,0.9506227477158556,0.9504,0.9503888862630815
iris,1,distance,1,6,0.9512,0.9513749890792585,0.9512,0.9511916623411487
iris,1,distance,1,7,0.9520000000000002,0.9521694115442758,0.9519999999999998,0.9519922903848521
iris,1,distance,1,8,0.9523999999999999,0.952522870943249,0.9523999999999999,0.9523946922263254
iris,1,distance,1,9,0.9527333333333332,0.9528815461417044,0.9527333333333333,0.9527266709697695
iris,1,distance,2,2,0.9538666666666664,0.9541956157953784,0.9538666666666665,0.9538489352220015
iris,1,distance,2,3,0.9553333333333334,0.9554649485956801,0.9553333333333333,0.9553275034886007
iris,1,distance,2,4,0.9566,0.9567102472391236,0.9565999999999999,0.9565951916678098
iris,1,distance,2,5,0.9579333333333332,0.9579920298888784,0.9579333333333333,0.9579309927631418
iris,1,distance,2,6,0.9583999999999999,0.9584391200069771,0.9583999999999999,0.9583984397319282
iris,1,distance,2,7,0.9584666666666665,0.9585021316218794,0.9584666666666666,0.9584651930579211
iris,1,distance,2,8,0.9587333333333333,0.9587573750012823,0.9587333333333331,0.9587323398366246
iris,1,distance,2,9,0.9585999999999999,0.9586240896358542,0.9585999999999998,0.9585990199019901
iris,1,sqrt-order,1,2,0.9486,0.9489971107783753,0.9486000000000001,0.9485783468115547
