dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
wine,1,uniform,1,2,0.7770224719101122,0.7711730708527649,0.7711994708363173,0.7698403638388146
wine,1,uniform,1,3,0.8018539325842695,0.7965666897778849,0.7977991465743615,0.7962850411457805
wine,1,uniform,1,4,0.8151123595505618,0.809433335143811,0.8125582875785788,0.8101875158850593
wine,1,uniform,1,5,0.821629213483146,0.8162127894469244,0.8197782552186945,0.817207566632866
wine,1,uniform,1,6,0.826516853932584,0.821257433419306,0.8252248282538927,0.8224881876910278
wine,1,uniform,1,7,0.8297191011235953,0.8244126566141236,0.8288287280178245,0.8257947000692771
wine,1,uniform,1,8,0.8311797752808988,0.826041757308847,0.8306943283997773,0.8274723371285522
wine,1,uniform,1,9,0.8317977528089885,0.8263766974339558,0.8308113345799847,0.8278624648662247
wine,1,uniform,2,2,0.7149438202247191,0.7063095649195171,0.705626906448105,0.7047859538440768
wine,1,uniform,2,3,0.7432584269662922,0.7353981823211482,0.7341040191241611,0.7338886352411037
wine,1,uniform,2,4,0.7484831460674158,0.7403989277871672,0.7396837119705049,0.7394121140733457
wine,1,uniform,2,5,0.7525280898876403,0.7448560109245644,0.7447764482374474,0.7444199304944802
wine,1,uniform,2,6,0.7558988764044944,0.7482375495742808,0.748096519323095,0.7477859637235937
wine,1,uniform,2,7,0.7570786516853932,0.7494257928583171,0.7492365089785417,0.7490039803242138
wine,1,uniform,2,8,0.76,0.7524811807419538,0.7521058957322087,0.752011072486367
wine,1,uniform,2,9,0.7621348314606741,0.7545664695013553,0.7545151322246094,0.7542967390814863
wine,1,distance,1,2,0.7791573033707866,0.773996655124565,0.7723345203045012,0.771809547558028
wine,1,distance,1,3,0.8028651685393257,0.7971732062020649,0.799101747964245,0.7972428080597713
wine,1,distance,1,4,0.8151685393258424,0.8094426078902575,0.8118683688761572,0.8100109392323399
wine,1,distance,1,5,0.8215730337078649,0.8163414573572516,0.8203005059547492,0.8174777425516818
wine,1,distance,1,6,0.8272471910112358,0.8221155117091183,0.8263328227367974,0.8233107356046315
wine,1,distance,1,7,0.8312359550561795,0.8259081551322185,0.830063642211082,0.8272355431108408
wine,1,distance,1,8,0.830449438202247,0.8249606924225056,0.8296041384843903,0.8264062902293888
wine,1,distance,1,9,0.8335393258426964,0.8281190310341586,0.8328059932097291,0.8296256580155186
wine,1,distance,2,2,0.720056179775281,0.7120957396848303,0.7105515934590595,0.7098932474081833
wine,1,distance,2,3,0.7326404494382023,0.7243160206101048,0.7233797843558527,0.7230846412776195
wine,1,distance,2,4,0.7448876404494382,0.7369825992989709,0.7368241890135541,0.7364574822328521
wine,1,distance,2,5,0.7517977528089886,0.7442458702474083,0.7438961665473065,0.743503762930123
wine,1,distance,2,6,0.755,0.7474484302775819,0.7470739337152861,0.7468678298896086
wine,1,distance,2,7,0.7570224719101123,0.7497232283660564,0.7494580548261319,0.7491636622920232
wine,1,distance,2,8,0.7617977528089886,0.7548812028240969,0.7544501472109494,0.7543794877896796
wine,1,distance,2,9,0.7611235955056179,0.7530820226245577,0.7531615540701838,0.7528419421037209
wine,1,sqrt-order,1,2,0.7796629213483146,0.7739578598888112,0.7739975730086734,0.7728064581755649
wine,1,sqrt-order,1,3,0.8030337078651684,0.7977627018362545,0.7994448920453039,0.7978613862159484
wine,1,sqrt-order,1,4,0.8133146067415729,0.8075385762494447,0.8096838445929817,0.8078207316768772
wine,1,sqrt-order,1,5,0.8189887640449437,0.8136412907309608,0.8169144386090554,0.8145442897142711
wine,1,sqrt-order,1,6,0.8241011235955054,0.8189171365122798,0.8227321722235484,0.8200415793860808
wine,1,sqrt-order,1,7,0.8303370786516853,0.8247755097474836,0.8290582146362165,0.8261961429122007
wine,1,sqrt-order,1,8,0.8297191011235953,0.8243544161276686,0.8289535091907376,0.8257606621345972
wine,1,sqrt-order,1,9,0.8328089887640447,0.8275359817548313,0.8321254243919259,0.8290381346173946
wine,1,sqrt-order,2,2,0.7173595505617979,0.7085526564266628,0.7069230590700513,0.706568709745587
wine,1,sqrt-order,2,3,0.7414044943820225,0.7334584017756653,0.7329904047637994,0.7323723615348793
wine,1,sqrt-order,2,4,0.7447752808988765,0.7372958007913513,0.7364561284846555,0.7362640401709087
wine,1,sqrt-order,2,5,0.7502247191011235,0.7424461723966643,0.742407794222965,0.7419793689030978
wine,1,sqrt-order,2,6,0.7565730337078652,0.7488469887172017,0.748666696506724,0.7483457812590527
wine,1,sqrt-order,2,7,0.7608426966292134,0.7535747330981779,0.7531428708787566,0.7530635672318866
wine,1,sqrt-order,2,8,0.758932584269663,0.750928320805432,0.7512399372695685,0.7507468597147695
wine,1,sqrt-order,2,9,0.7615168539325842,0.7538629197496873,0.7538671222248747,0.7535573577800627
wine,2,uniform,1,2,0.7170786516853934,0.7123191471654081,0.6860877695551842,0.6740207202731617
wine,2,uniform,1,3,0.7272471910112361,0.7221901753756605,0.700445561788812,0.6940390131395616
wine,2,uniform,1,4,0.7324719101123597,0.7284068482768724,0.7060914498289169,0.7001571642687312
wine,2,uniform,1,5,0.7425842696629215,0.7379128792643118,0.7175758932123817,0.7128937338884451
wine,2,uniform,1,6,0.7415730337078651,0.7365487336338377,0.7170122642635475,0.7127036714274156
wine,2,uniform,1,7,0.7426966292134831,0.7365779071058498,0.7185927760536857,0.7145818721508477
wine,2,uniform,1,8,0.7437078651685394,0.737218888442269,0.7202831489880905,0.716363944663637
wine,2,uniform,1,9,0.7446629213483146,0.7390265288458517,0.7210649253335456,0.7173985992918728
wine,2,uniform,2,2,0.674550561797753,0.6392010511025854,0.6400044760085941,0.61740110437648
wine,2,uniform,2,3,0.6712359550561798,0.6374890451448304,0.6374523553751891,0.6178817374715417
