n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,"0,677","0,644","0,644","0,644"
1,distance,manhattan,"0,689","0,656","0,653","0,654"
1,sqrt-order,euclidean,"0,677","0,644","0,644","0,644"
1,sqrt-order,manhattan,"0,689","0,656","0,653","0,654"
1,uniform,euclidean,"0,678","0,645","0,645","0,645"
1,uniform,manhattan,"0,689","0,656","0,652","0,654"
2,distance,euclidean,"0,677","0,644","0,644","0,644"
2,distance,manhattan,"0,689","0,656","0,653","0,654"
2,sqrt-order,euclidean,"0,677","0,645","0,645","0,645"
2,sqrt-order,manhattan,"0,689","0,656","0,653","0,654"
2,uniform,euclidean,"0,706","0,688","0,619","0,620"
2,uniform,manhattan,"0,711","0,698","0,621","0,621"
3,distance,euclidean,"0,693","0,660","0,655","0,657"
3,distance,manhattan,"0,698","0,665","0,656","0,659"
3,sqrt-order,euclidean,"0,696","0,664","0,658","0,660"
3,sqrt-order,manhattan,"0,701","0,669","0,659","0,663"
3,uniform,euclidean,"0,696","0,663","0,658","0,660"
3,uniform,manhattan,"0,701","0,668","0,659","0,662"
4,distance,euclidean,"0,704","0,672","0,665","0,668"
4,distance,manhattan,"0,712","0,681","0,670","0,674"
4,sqrt-order,euclidean,"0,703","0,671","0,663","0,666"
4,sqrt-order,manhattan,"0,712","0,681","0,669","0,673"
4,uniform,euclidean,"0,716","0,692","0,644","0,650"
4,uniform,manhattan,"0,719","0,698","0,643","0,650"
5,distance,euclidean,"0,714","0,683","0,670","0,675"
5,distance,manhattan,"0,729","0,701","0,683","0,689"
5,sqrt-order,euclidean,"0,717","0,686","0,676","0,680"
5,sqrt-order,manhattan,"0,725","0,696","0,679","0,685"
5,uniform,euclidean,"0,717","0,686","0,673","0,678"
5,uniform,manhattan,"0,730","0,702","0,683","0,689"
6,distance,euclidean,"0,716","0,685","0,673","0,678"
6,distance,manhattan,"0,728","0,700","0,681","0,687"
6,sqrt-order,euclidean,"0,717","0,686","0,674","0,678"
6,sqrt-order,manhattan,"0,728","0,700","0,681","0,687"
6,uniform,euclidean,"0,728","0,707","0,662","0,670"
6,uniform,manhattan,"0,731","0,714","0,662","0,670"
7,distance,euclidean,"0,723","0,694","0,678","0,684"
7,distance,manhattan,"0,728","0,700","0,678","0,685"
7,sqrt-order,euclidean,"0,720","0,690","0,678","0,682"
7,sqrt-order,manhattan,"0,728","0,700","0,679","0,686"
7,uniform,euclidean,"0,726","0,697","0,683","0,688"
7,uniform,manhattan,"0,729","0,702","0,679","0,686"
8,distance,euclidean,"0,725","0,696","0,681","0,686"
8,distance,manhattan,"0,730","0,703","0,682","0,688"
8,sqrt-order,euclidean,"0,723","0,694","0,680","0,685"
8,sqrt-order,manhattan,"0,730","0,702","0,681","0,688"
8,uniform,euclidean,"0,735","0,714","0,672","0,680"
8,uniform,manhattan,"0,733","0,714","0,665","0,673"
9,distance,euclidean,"0,731","0,704","0,685","0,691"
9,distance,manhattan,"0,734","0,707","0,684","0,691"
9,sqrt-order,euclidean,"0,726","0,697","0,682","0,687"
9,sqrt-order,manhattan,"0,731","0,704","0,682","0,689"
9,uniform,euclidean,"0,734","0,707","0,689","0,695"
9,uniform,manhattan,"0,735","0,709","0,685","0,692"
