n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,"0,719","0,683","0,689","0,682"
1,distance,manhattan,"0,723","0,687","0,694","0,688"
1,sqrt-order,euclidean,"0,719","0,682","0,689","0,682"
1,sqrt-order,manhattan,"0,724","0,687","0,693","0,687"
1,uniform,euclidean,"0,719","0,683","0,690","0,683"
1,uniform,manhattan,"0,724","0,687","0,692","0,687"
2,distance,euclidean,"0,719","0,682","0,690","0,682"
2,distance,manhattan,"0,723","0,686","0,692","0,686"
2,sqrt-order,euclidean,"0,720","0,683","0,690","0,683"
2,sqrt-order,manhattan,"0,723","0,685","0,692","0,686"
2,uniform,euclidean,"0,683","0,670","0,593","0,613"
2,uniform,manhattan,"0,691","0,673","0,605","0,623"
3,distance,euclidean,"0,689","0,653","0,636","0,642"
3,distance,manhattan,"0,707","0,666","0,666","0,662"
3,sqrt-order,euclidean,"0,682","0,644","0,627","0,633"
3,sqrt-order,manhattan,"0,705","0,665","0,661","0,659"
3,uniform,euclidean,"0,675","0,644","0,598","0,615"
3,uniform,manhattan,"0,705","0,675","0,639","0,649"
4,distance,euclidean,"0,681","0,645","0,623","0,630"
4,distance,manhattan,"0,712","0,679","0,670","0,670"
4,sqrt-order,euclidean,"0,678","0,634","0,612","0,619"
4,sqrt-order,manhattan,"0,709","0,671","0,664","0,663"
4,uniform,euclidean,"0,665","0,617","0,558","0,574"
4,uniform,manhattan,"0,683","0,648","0,596","0,609"
5,distance,euclidean,"0,682","0,642","0,616","0,624"
5,distance,manhattan,"0,704","0,671","0,659","0,658"
5,sqrt-order,euclidean,"0,684","0,633","0,608","0,615"
5,sqrt-order,manhattan,"0,710","0,667","0,652","0,652"
5,uniform,euclidean,"0,657","0,602","0,543","0,558"
5,uniform,manhattan,"0,680","0,626","0,589","0,595"
6,distance,euclidean,"0,676","0,627","0,598","0,604"
6,distance,manhattan,"0,692","0,659","0,636","0,640"
6,sqrt-order,euclidean,"0,680","0,628","0,603","0,608"
6,sqrt-order,manhattan,"0,699","0,664","0,639","0,643"
6,uniform,euclidean,"0,649","0,575","0,522","0,532"
6,uniform,manhattan,"0,659","0,593","0,542","0,553"
7,distance,euclidean,"0,672","0,629","0,597","0,604"
7,distance,manhattan,"0,684","0,646","0,621","0,625"
7,sqrt-order,euclidean,"0,669","0,606","0,582","0,586"
7,sqrt-order,manhattan,"0,683","0,627","0,608","0,609"
7,uniform,euclidean,"0,639","0,562","0,514","0,522"
7,uniform,manhattan,"0,657","0,590","0,540","0,549"
8,distance,euclidean,"0,667","0,623","0,582","0,590"
8,distance,manhattan,"0,676","0,636","0,608","0,611"
8,sqrt-order,euclidean,"0,672","0,625","0,585","0,592"
8,sqrt-order,manhattan,"0,682","0,635","0,608","0,611"
8,uniform,euclidean,"0,637","0,549","0,488","0,495"
8,uniform,manhattan,"0,650","0,557","0,516","0,521"
9,distance,euclidean,"0,663","0,620","0,574","0,582"
9,distance,manhattan,"0,673","0,624","0,598","0,598"
9,sqrt-order,euclidean,"0,667","0,618","0,574","0,583"
9,sqrt-order,manhattan,"0,676","0,619","0,591","0,594"
9,uniform,euclidean,"0,622","0,493","0,458","0,456"
9,uniform,manhattan,"0,639","0,532","0,496","0,498"
