n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,"0,957","0,957","0,957","0,957"
1,distance,manhattan,"0,951","0,951","0,951","0,951"
1,sqrt-order,euclidean,"0,957","0,957","0,957","0,957"
1,sqrt-order,manhattan,"0,951","0,951","0,951","0,951"
1,uniform,euclidean,"0,957","0,957","0,957","0,957"
1,uniform,manhattan,"0,951","0,951","0,951","0,951"
2,distance,euclidean,"0,958","0,958","0,958","0,958"
2,distance,manhattan,"0,950","0,951","0,950","0,950"
2,sqrt-order,euclidean,"0,957","0,957","0,957","0,957"
2,sqrt-order,manhattan,"0,951","0,951","0,951","0,951"
2,uniform,euclidean,"0,945","0,946","0,945","0,945"
2,uniform,manhattan,"0,936","0,938","0,936","0,936"
3,distance,euclidean,"0,961","0,962","0,961","0,961"
3,distance,manhattan,"0,959","0,959","0,959","0,959"
3,sqrt-order,euclidean,"0,961","0,961","0,961","0,961"
3,sqrt-order,manhattan,"0,959","0,959","0,959","0,959"
3,uniform,euclidean,"0,961","0,961","0,961","0,961"
3,uniform,manhattan,"0,959","0,959","0,959","0,959"
4,distance,euclidean,"0,961","0,961","0,961","0,961"
4,distance,manhattan,"0,957","0,958","0,957","0,957"
4,sqrt-order,euclidean,"0,961","0,961","0,961","0,961"
4,sqrt-order,manhattan,"0,954","0,954","0,954","0,954"
4,uniform,euclidean,"0,958","0,958","0,958","0,958"
4,uniform,manhattan,"0,951","0,952","0,951","0,951"
5,distance,euclidean,"0,965","0,966","0,965","0,965"
5,distance,manhattan,"0,958","0,958","0,958","0,958"
5,sqrt-order,euclidean,"0,960","0,960","0,960","0,960"
5,sqrt-order,manhattan,"0,956","0,956","0,956","0,956"
5,uniform,euclidean,"0,965","0,965","0,965","0,965"
5,uniform,manhattan,"0,956","0,956","0,956","0,956"
6,distance,euclidean,"0,963","0,963","0,963","0,963"
6,distance,manhattan,"0,956","0,956","0,956","0,956"
6,sqrt-order,euclidean,"0,963","0,963","0,963","0,963"
6,sqrt-order,manhattan,"0,954","0,954","0,954","0,954"
6,uniform,euclidean,"0,960","0,960","0,960","0,960"
6,uniform,manhattan,"0,949","0,950","0,949","0,949"
7,distance,euclidean,"0,967","0,968","0,967","0,967"
7,distance,manhattan,"0,956","0,957","0,956","0,956"
7,sqrt-order,euclidean,"0,962","0,962","0,962","0,962"
7,sqrt-order,manhattan,"0,957","0,957","0,957","0,957"
7,uniform,euclidean,"0,966","0,966","0,966","0,966"
7,uniform,manhattan,"0,954","0,954","0,954","0,954"
8,distance,euclidean,"0,967","0,967","0,967","0,967"
8,distance,manhattan,"0,956","0,956","0,956","0,956"
8,sqrt-order,euclidean,"0,963","0,963","0,963","0,963"
8,sqrt-order,manhattan,"0,957","0,957","0,957","0,957"
8,uniform,euclidean,"0,965","0,966","0,965","0,965"
8,uniform,manhattan,"0,951","0,952","0,951","0,951"
9,distance,euclidean,"0,970","0,970","0,970","0,970"
9,distance,manhattan,"0,958","0,958","0,958","0,958"
9,sqrt-order,euclidean,"0,965","0,965","0,965","0,965"
9,sqrt-order,manhattan,"0,954","0,954","0,954","0,954"
9,uniform,euclidean,"0,968","0,968","0,968","0,968"
9,uniform,manhattan,"0,957","0,958","0,957","0,957"
