n-k,voting,distance,acc_mean,prec_mean,rec_mean,f1_mean
1,distance,euclidean,"0,748","0,740","0,740","0,740"
1,distance,manhattan,"0,818","0,812","0,815","0,813"
1,sqrt-order,euclidean,"0,749","0,741","0,741","0,740"
1,sqrt-order,manhattan,"0,816","0,811","0,814","0,812"
1,uniform,euclidean,"0,749","0,741","0,741","0,741"
1,uniform,manhattan,"0,817","0,811","0,815","0,812"
2,distance,euclidean,"0,748","0,740","0,740","0,740"
2,distance,manhattan,"0,819","0,814","0,817","0,814"
2,sqrt-order,euclidean,"0,750","0,742","0,741","0,741"
2,sqrt-order,manhattan,"0,818","0,812","0,815","0,813"
2,uniform,euclidean,"0,673","0,637","0,639","0,618"
2,uniform,manhattan,"0,737","0,731","0,711","0,705"
3,distance,euclidean,"0,740","0,734","0,737","0,734"
3,distance,manhattan,"0,797","0,792","0,795","0,793"
3,sqrt-order,euclidean,"0,720","0,711","0,714","0,711"
3,sqrt-order,manhattan,"0,786","0,781","0,783","0,781"
3,uniform,euclidean,"0,704","0,690","0,696","0,692"
3,uniform,manhattan,"0,768","0,760","0,764","0,761"
4,distance,euclidean,"0,727","0,719","0,721","0,719"
4,distance,manhattan,"0,793","0,788","0,792","0,788"
4,sqrt-order,euclidean,"0,722","0,714","0,715","0,714"
4,sqrt-order,manhattan,"0,786","0,781","0,784","0,781"
4,uniform,euclidean,"0,681","0,657","0,658","0,652"
4,uniform,manhattan,"0,747","0,735","0,726","0,724"
5,distance,euclidean,"0,739","0,730","0,731","0,730"
5,distance,manhattan,"0,791","0,785","0,788","0,785"
5,sqrt-order,euclidean,"0,730","0,722","0,723","0,722"
5,sqrt-order,manhattan,"0,780","0,773","0,776","0,774"
5,uniform,euclidean,"0,695","0,676","0,683","0,678"
5,uniform,manhattan,"0,753","0,741","0,745","0,741"
6,distance,euclidean,"0,734","0,726","0,728","0,726"
6,distance,manhattan,"0,789","0,784","0,790","0,785"
6,sqrt-order,euclidean,"0,723","0,713","0,716","0,714"
6,sqrt-order,manhattan,"0,784","0,777","0,782","0,778"
6,uniform,euclidean,"0,693","0,668","0,674","0,668"
6,uniform,manhattan,"0,749","0,734","0,731","0,728"
7,distance,euclidean,"0,732","0,725","0,728","0,725"
7,distance,manhattan,"0,787","0,781","0,786","0,782"
7,sqrt-order,euclidean,"0,728","0,720","0,724","0,720"
7,sqrt-order,manhattan,"0,779","0,773","0,778","0,774"
7,uniform,euclidean,"0,695","0,676","0,684","0,678"
7,uniform,manhattan,"0,749","0,737","0,743","0,738"
8,distance,euclidean,"0,735","0,729","0,732","0,729"
8,distance,manhattan,"0,787","0,782","0,788","0,782"
8,sqrt-order,euclidean,"0,725","0,717","0,721","0,717"
8,sqrt-order,manhattan,"0,780","0,774","0,779","0,774"
8,uniform,euclidean,"0,688","0,665","0,672","0,667"
8,uniform,manhattan,"0,742","0,726","0,730","0,726"
9,distance,euclidean,"0,738","0,733","0,737","0,732"
9,distance,manhattan,"0,787","0,783","0,788","0,783"
9,sqrt-order,euclidean,"0,726","0,719","0,723","0,718"
9,sqrt-order,manhattan,"0,774","0,768","0,774","0,768"
9,uniform,euclidean,"0,703","0,689","0,697","0,691"
9,uniform,manhattan,"0,750","0,738","0,746","0,740"
